current_action,predicted_action,llama_3.2_model_reply,llama_3.2_model_score,llama_3.2_model_2_reply,llama_3.2_model_2_score,phi_3_mini_model_reply,phi_3_mini_model_score
pour liquidwashingup,pick glass,I'll wash the glass.,,fetch,,Fetch glass to assist with pouring liquid.,
clean cooker,pick-up grill,fetch grill,,fetch ingredients,,Fetch the grill to assist the chef.,
chop leek,rinse leek,I'll rinse the leek.,,I'll wash the leek.,,Fetch the leek to rinse.,
pick-up meat,put-down panfrying,"### action: wash

### action list: 
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",,fetch meat,,Fetch the meat from the refrigerator.,
put-on v60,empty bowlwashingup,I'll wash the v60.,,I'll wash the v60.,,Fetch ingredients for chef's next action.,
put-in coriander,pick-up lidjar,I'll wash the coriander.,,I'll wash the coriander.,,Fetch coriander for the chef.,
inspect saucepan,wash saucepan,I will wash the saucepan.,,I'm washing the saucepan.,,Fetch clean saucepan for chef.,
drain potato,stir potato,I'll wash the potatoes.,,Drain the potato.,,"Fetch the potato slices.

This action assumes that the chef has already drained the potatoes and is ready to proceed with the next step, which could involve preparing the potatoes for further cooking or serving. Fetching the potato slices would be the next logical step if the chef's current action is to slice the potatoes",
put glass,put bag,I'll put the glass in the sink.,,I'll wash the glass.,,Fetch the ingredients for the chef.,
rinse hand,cut tomatocherry,fetch tomato,,wash,,Fetch fresh tomatoes for cutting.,
throw paperbaking,pick-up spoonwooden,I'll wash the spoonwooden.,,I'll wash the paperbaking.,,Fetch the spoon.,
rinse aubergine,put-down aubergine,I will wash the aubergine.,,Wash the aubergine.,,"Fetch a cutting board and knife.

Explanation: After rinsing the aubergine, the next logical step is to prepare it for cooking, which involves cutting it. However, since the instruction specifies not to cut, the best alternative is to fetch the necessary tools (a cutting board and knife) to assist the chef in",
pick-up tomato,throw tomato,I will wash the tomato.,,fetch tomato,,Fetch the tomato.,
close freezer,pick-up packagefishfinger,fetch package,,fetch ingredients,,Fetch the packagefishfinger.,
stir sauce,close bagpasta,I will wash the bagpasta.,,wash the saucepan.,,Fetch the pasta to assist the chef.,
drop onion,put-down onion,I will wash the onion.,,I'll wash the onion.,,Fetch a cutting board and knife.,
unfreeze corn,remove leaf,I'll wash the corn.,,fetch corn,,Fetch the frozen corn.,
pour-into watercold,put-down filterwater,I will wash the filter.,,fetch water.,,Fetch filterwater.,
throw seal,pour-from milk,I'll wash the seal.,,I cannot provide information on how to cook seal. Can I help you with something else?,,Fetch the seal for the chef.,
clean makercoffee,take potcoffee,I'll wash the maker.,,fetch coffee beans,,Fetch pot coffee.,
turn-on oven,pour-into water,"### action: wash

### next action: pour",,fetch ingredients,,Fetch the ingredients for the recipe.,
wash desk,wash dish,fetch dish,,fetch,,Fetch ingredients for the next cooking step.,
put-into cutlery,move jug,I'll wash the jug.,,fetch,,Fetch the knife for the chef.,
cut cheese,take bottleoil,I'll wash the bottle of oil.,,fetch cheese,,Fetch the cheese slicer.,
turn-up heat,throw chilli,"### action: wash

### next action: stir",,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",,Fetch additional ingredients to assist the chef.,
take kettle,rinse kettle,I'll wash the kettle.,,fetch water.,,Fetch clean kettle.,
put-down package,move bag,I will wash the package.,,I'll wash the package.,,Fetch the ingredients needed for the next step.,
pop-out tablet,screw cap,I'll wash the screw cap.,,I'll wash the tablet.,,Fetch the chef's tablet.,
feel temperaturemilk,pick-up thermometer,fetch thermometer,,I'll wash the milk.,,Fetch thermometer to check milk temperature.,
wash hand,place-in hand,Place utensils in hand.,,wash,,Fetch ingredients for the next step.,
pick-up trayoven,remove packagingpizza,fetch pizza,,fetch the ingredients,,Fetch the tray.,
