current_action,predicted_action,Phi-3-mini_model_reply
start_of_video,pick-up detergent,fetch ingredients for the recipe.
add water,open refrigerator,Fetch water to assist chef.
adjust aubergine,pick-up salt,Fetch salt for the chef.
adjust flame,pick-up salt,Fetch salt to assist the chef.
blend pea,pick-up mixer,Fetch the mixer to assist the chef.
check potcoffee,pick-up sugar,Fetch sugar for the chef.
chop onion,put-in rubbish,"Fetch additional cutting board and knife.

This action is chosen because the chef is currently chopping an onion, and having additional tools readily available can help improve efficiency and safety in the kitchen. By fetching an additional cutting board and knife, the chef can continue their task without interruption, ensuring a smooth workflow."
close box,put-in bagtea,Fetch the put-in bagtea.
close containercake,wash teaspoon,Fetch the washed teaspoon.
close dishwasher,plug-in machinesousvide,Fetch the plug-in machine for the chef.
close refrigerator,get yoghurt,Fetch yogurt from refrigerator.
close tupperware,put tupperware,Fetch the tupperware for the chef.
drain rice,pick-up kettle,Fetch the kettle.
drain sauce,place salt,Fetch salt for the chef.
empty bowlwashingup,dry hand,Wash the ingredients for the chef.
empty kettle,fill kettle,Fetch water to fill the kettle.
enter kitchen,get pear,Fetch the pear for the chef.
enter-into kitchen,cut onionnew,Fetch the onion.
fill-up bottlewater,take box,Fetch water for chef to use.
flip meat,pick-up oil,Fetch the oil for the chef.
flip tortilla,check tortilla,Fetch a tortilla to continue cooking.
flip-through book,bend book,Fetch the recipe book for the chef.
fold tablecloth,pull-down tablecloth,Fetch the tablecloth.
fold toweltea,put boardcutting,Fetch fresh ingredients for the next cooking step.
get apron,wear apron,Fetch apron for chef.
get bowlplastic,get oil,Fetch the bowl.
get moka,put-down moka,Fetch the coffee beans for the moka.
get spoonwood,throw shell,Fetch the spoonwood for the chef.
grab banana,pull-off banana,Fetch the knife to cut the banana.
grab boardcutting,take cheese,Fetch the cheese.
grab bowlsalad,dry bowlsalad,Fetch fresh ingredients for the salad.
grab glove,rinse makercoffee,Fetch the gloves for the chef.
grab jug,open jug,Fetch the open jug.
grab makercoffee,open makercoffee,Fetch the coffee beans.
grab meat,put-down machinecoffee,Fetch the meat for the chef.
grab onion,put-on saucepan,Fetch onion for chef.
grab rucksack,open rucksack,Fetch the chef's rucksack.
grab squash,pour water,Fetch squash for chef.
grab tin,put-down tin,Fetch the ingredients needed for the chef's next step.
grab tongs,get butter,Fetch the butter for the chef.
increase flowtap,take-out tray,"Fetch the take-out tray.

This action is chosen because the instructions indicate that if a take-out tray is received, it becomes the next action. Fetching the tray would be the most helpful action to provide immediate assistance to the chef, assuming the tray has arrived."
light cooker,fix paella,Fetch the paella ingredients.
mix pasta,pick-up salt,Fetch salt to assist the chef.
mix sauce,switch-off cooker,Fetch additional ingredients for the sauce.
mix-with butter,crack egg,Fetch the cracked egg.
move bowlcheese,pick-up saucepan,Fetch the saucepan.
move filter,put-down remote,Fetch the ingredients for the chef.
move instruction,move-along finger,Fetch ingredients for the next step.
move oil,put-in egg,Fetch the put-in egg for the chef.
move onion,peel potato,Fetch the onion for the chef.
move pasta,pick-up pasta,Fetch the pasta.
move spatula,wipe surface,Fetch the clean spatula for the chef.
move tablet,wear glove,Fetch gloves for chef.
move tray,pour milk,Fetch the milk to assist the chef.
move-on gloveoven,look-in oven,Fetch the oven mitts.
open bag,get bagonion,Fetch the ingredients needed for the chef's next action.
open bagcarrot,drop-into carrot,Fetch fresh carrots for chef.
open bagcoffee,put-into podcoffee,Fetch the coffee beans.
open bintrash,close bintrash,Fetch ingredients for the next recipe.
open bottleoil,pick-up bottleoil,Fetch bottle oil.
open cabinet,put-down boxpasta,Fetch the boxpasta.
open containersalt,pour-onto salt,Fetch the salt for the chef.
open dishwasher,close dishwasher,Fetch ingredients for the next recipe.
open doorwashingmachine,take detergent,Fetch detergent for the washing machine.
open flap,take bread,Fetch the bread.
open freezer,pick-up pizza,Fetch ingredients for the chef's next recipe.
open kettle,pick-up jug,Fetch the jug to assist the chef.
open locker,cut peach,Fetch the peach.
open machinewashing,take detergent,Fetch detergent for chef.
open oven,take-out pizza,Fetch ingredients for chef's next action.
open package,place-in tortilla,Fetch the place-in tortilla.
open packageegg,take-out sausage,Fetch the egg for the chef.
